Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,FatherQual,PrevQual,MotherQual,Course_Field,MotherOcc_Simple,FatherOcc_Simple,ApplicationMode_Simple,ApplicationOrder_Simple,MaritalStatus_Simple,Nationality_Simple
Single,Change in course,1,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Farmers/Ag Workers,Farmers/Ag Workers,No,No,No,Yes,Female,No,34,No,0,5,5,1,10.0,0,0,5,3,2,12.0,2,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese
Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Technicians & Professionals,Yes,No,No,Yes,Female,No,34,No,0,5,5,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Technical,Unknown,1,Separated/Divorced,Portuguese
Single,Technological specialization diploma holders,1,Equiniculture,Daytime,Technological specialization course,Spanish,Master’s Degree,Master’s Degree,Technicians & Professionals,Farmers/Ag Workers,No,No,Yes,No,Female,No,20,Yes,2,6,6,3,11.666666666666666,0,1,6,6,3,12.0,0,12.4,0.5,1.79,Dropout,Doctorate,Secondary/Technical,Doctorate,Agriculture,Technical,LowSkill,Transfer/Other,1,Single,Europe
Single,1st phase—general contingent,5,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,HigherEd,Secondary/Technical,HigherEd,Communication,Professional,Professional,General,5,Single,Portuguese
Single,1st phase—general contingent,2,Management,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Scientific Specialists,Skilled Industry Workers,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,Basic,Secondary/Technical,HigherEd,Management,Professional,Skilled,General,2,Single,Portuguese
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,Yes,No,Yes,Female,No,22,No,0,7,7,5,13.928,0,0,8,8,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,HigherEd,Secondary/Technical,Secondary/Technical,Health,Professional,Professional,General,6,Single,Portuguese
Single,2nd phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Service/Sales/Security,Service/Sales/Security,No,No,No,No,Female,No,20,No,0,6,6,4,13.0,0,0,6,6,5,13.8,0,12.4,0.5,1.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,LowSkill,General,1,Single,Portuguese
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,29,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Single,Portuguese
Single,2nd phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Administrative Staff,Service/Sales/Security,No,No,No,Yes,Female,No,24,No,0,5,5,2,11.5,0,0,5,4,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Management,Skilled,LowSkill,General,1,Single,Portuguese
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,6,5,13.2,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,2,Single,Portuguese
Single,2nd phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,22,No,0,7,7,6,13.516666666666666,0,0,8,8,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,6,Single,Portuguese
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,Portuguese,Secondary Education,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,6,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,19,No,0,6,6,5,12.333333333333334,0,0,6,6,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Skilled Industry Workers,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,Unknown,1,Single,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Farmers/Ag Workers,Farmers/Ag Workers,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,6,11.833333333333334,0,0,8,8,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,20,No,0,6,6,4,14.0,0,0,6,6,3,11.0,0,9.4,-0.8,-3.12,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Communication,Skilled,Skilled,General,1,Single,Portuguese
Single,1st phase—general contingent,3,Equiniculture,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Other Situation,Other Situation,No,No,No,Yes,Female,No,19,No,0,5,5,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Agriculture,Unemployed,Unemployed,General,3,Single,Portuguese
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,27,No,0,5,5,5,10.6,0,0,5,5,5,11.0,0,9.4,-0.8,-3.12,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Single,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Service/Sales/Security,Service/Sales/Security,Yes,No,No,Yes,Female,No,18,No,0,7,7,7,13.044444444444444,0,0,8,8,8,13.595,0,15.5,2.8,-4.06,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese
Married,Holders of other higher courses,1,Tourism,Daytime,Higher education—degree,Portuguese,Secondary Education,Higher Education Degree,Administrative Staff,Technicians & Professionals,No,No,No,Yes,Female,No,34,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,HigherEd,HigherEd,Secondary/Technical,Management,Skilled,Technical,Transfer/Other,1,Married,Portuguese
Single,Over 23 years old,1,Equiniculture,Daytime,Higher education—degree (1st cycle),Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,No,No,Yes,Female,No,27,No,0,6,6,5,13.0,0,5,11,11,10,12.9,0,12.4,0.5,1.79,Dropout,HigherEd,HigherEd,HigherEd,Agriculture,Professional,Professional,Unknown,1,Single,Portuguese
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Skilled Industry Workers,Armed Forces,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,ArmedForces,General,1,Single,Portuguese
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Arts,Skilled,LowSkill,General,3,Single,Portuguese
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,18,No,0,7,7,6,13.133333333333333,0,0,8,8,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,2,Single,Portuguese
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,12.0,0,2,6,6,6,12.0,0,13.9,-0.3,0.79,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese
Single,2nd phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Arts,Skilled,Skilled,General,3,Single,Portuguese
Single,2nd phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Administrative Staff,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,6,1,10.0,0,10.8,1.4,1.74,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Communication,Technical,Skilled,General,1,Single,Portuguese
Single,Change in course,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Technicians & Professionals,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Communication,Technical,Technical,Transfer/Other,1,Single,Portuguese
