Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,FatherQual,PrevQual,MotherQual,Course_Field,MotherOcc_Simple,FatherOcc_Simple,ApplicationMode_Simple,ApplicationOrder_Simple,MaritalStatus_Simple,Nationality_Simple,Pass Rate (1st Sem),Pass Rate (2nd Sem),Total Approved Units,Total Enrolled Units,Total Evaluated Units,Grade Difference,Load Category,Debt Risk,Tuition Stable,Socioeconomic Stress Score,Financial Hardship,Econ_Disadvantage
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Education 3rd Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,0,0,1,Female,0,18,No,0,6,6,6,12.333333333333334,0,0,6,6,5,14.2,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,General,1,Single,Portuguese,1.0,0.8333333333333334,11,12,12,1.8666666666666654,Low Load,0,0,13.6,-0.37974683544303794,0
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,0,0,1,Female,1,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese,0.875,0.875,14,16,16,0.0,Low Load,0,0,16.4,-2.1764705882352944,1
Single,1st phase—general contingent,2,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Administrative Staff,Unskilled Workers,Yes,0,0,1,Female,0,19,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout,Basic,Secondary/Technical,Secondary/Technical,Education,Skilled,LowSkill,General,2,Single,Portuguese,0.0,0.0,0,12,12,0.0,Low Load,0,0,16.4,-2.1764705882352944,0
Single,Short cycle diploma holders,1,Tourism,Daytime,Professional higher technical course,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Skilled Industry Workers,Yes,0,0,1,Female,1,21,No,0,6,6,6,10.571428571428571,0,0,6,6,5,11.0,0,8.9,1.4,3.51,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,Skilled,Skilled,Transfer/Other,1,Single,Portuguese,1.0,0.8333333333333334,11,12,12,0.4285714285714288,Low Load,0,0,10.3,0.39886039886039887,1
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Service/Sales/Security,Yes,0,0,1,Female,1,18,No,0,5,5,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese,0.8,1.0,9,10,10,-1.25,Low Load,0,0,12.200000000000001,0.8045977011494252,1
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Technicians & Professionals,Yes,0,0,1,Female,0,20,No,0,6,6,5,13.2,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,Technical,General,1,Single,Portuguese,0.8333333333333334,0.0,5,12,12,-13.2,Low Load,0,0,18.3,-0.6896551724137931,0
Single,3rd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Service/Sales/Security,Machine Operators,Yes,0,0,1,Female,0,18,No,0,6,6,1,12.0,0,0,6,6,2,11.0,0,10.8,1.4,1.74,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese,0.16666666666666666,0.3333333333333333,3,12,12,-1.0,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Service/Sales/Security,Administrative Staff,Yes,0,0,1,Female,0,18,No,0,7,7,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,LowSkill,Skilled,General,2,Single,Portuguese,1.0,1.0,15,15,15,1.2387499999999996,Low Load,0,0,18.3,-0.6896551724137931,0
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Technicians & Professionals,Service/Sales/Security,Yes,0,0,1,Female,0,20,No,0,5,4,4,12.5,1,0,5,3,4,12.25,2,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,HigherEd,Agriculture,Technical,LowSkill,General,1,Single,Portuguese,0.8,0.8,8,10,7,-0.25,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,0,0,1,Female,0,18,No,0,7,7,6,11.666666666666666,0,0,7,7,6,13.5,0,16.2,0.3,-0.92,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Education,Skilled,Skilled,General,1,Single,Portuguese,0.8571428571428571,0.8571428571428571,12,14,14,1.833333333333334,Low Load,0,0,16.5,-0.3260869565217391,0
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Machine Operators,No,0,0,1,Female,1,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Arts,LowSkill,LowSkill,General,3,Single,Portuguese,0.0,0.0,0,0,0,0.0,Low Load,0,0,11.7,0.297029702970297,1
Single,3rd phase—general contingent,4,Oral Hygiene,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,Yes,0,0,1,Female,0,20,No,0,7,7,7,11.4375,0,0,8,8,8,11.425,0,12.7,3.7,-1.7,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,4,Single,Portuguese,1.0,1.0,15,15,15,-0.01249999999999929,Low Load,0,0,16.4,-2.1764705882352944,0
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Legislative/Executive Officers,Legislative/Executive Officers,Yes,0,0,1,Female,0,18,No,0,8,8,7,12.857142857142858,0,0,8,8,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,ArmedForces,ArmedForces,General,4,Single,Portuguese,0.875,0.875,14,16,16,0.0,Low Load,0,0,16.4,-2.1764705882352944,0
Single,1st phase—general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Administrative Staff,Skilled Industry Workers,Yes,0,0,1,Female,1,19,No,0,6,6,6,13.375,0,0,6,6,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,Skilled,Skilled,General,4,Single,Portuguese,1.0,1.0,12,12,12,-1.0892857142857135,Low Load,0,0,11.7,0.297029702970297,1
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Skilled Industry Workers,No,0,0,1,Female,0,19,No,0,7,7,6,13.296666666666669,0,0,8,8,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Technical,Skilled,General,1,Single,Portuguese,0.8571428571428571,0.875,13,15,15,0.8176190476190452,Low Load,0,0,11.7,0.297029702970297,0
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,0,1,1,Female,1,18,No,0,6,6,5,11.6,0,0,6,6,4,11.0,0,7.6,2.6,0.32,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese,0.8333333333333334,0.6666666666666666,9,12,12,-0.5999999999999996,Low Load,0,0,10.2,8.125,2
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Machine Operators,Yes,0,0,1,Female,0,21,No,0,6,6,6,11.375,0,0,6,6,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,LowSkill,General,2,Single,Portuguese,1.0,1.0,12,12,12,1.9107142857142865,Low Load,0,0,16.5,-0.3260869565217391,0
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Technicians & Professionals,Yes,0,0,1,Female,0,18,No,0,5,3,5,12.666666666666666,2,0,5,5,4,13.0,0,9.4,-0.8,-3.12,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,Technical,Technical,General,1,Single,Portuguese,1.0,0.8,9,10,8,0.3333333333333339,Low Load,0,0,8.6,0.25641025641025644,0
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,Yes,0,0,1,Female,0,20,No,0,5,5,5,12.0,0,0,5,5,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,1,Single,Portuguese,1.0,1.0,10,10,10,0.3333333333333339,Low Load,0,0,16.5,-0.3260869565217391,0
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Legislative/Executive Officers,Armed Forces,Yes,0,0,1,Male,0,19,No,0,7,7,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,HigherEd,Secondary/Technical,HigherEd,Health,ArmedForces,ArmedForces,General,2,Single,Portuguese,0.8571428571428571,0.8571428571428571,12,14,14,0.7833333333333368,Low Load,0,0,16.5,-0.3260869565217391,0
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Master’s Degree,Doctorate,Administrative Staff,Scientific Specialists,No,0,0,1,Male,0,21,No,0,6,6,5,11.857142857142858,0,0,6,6,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,Doctorate,Secondary/Technical,Doctorate,Agriculture,Skilled,Professional,Transfer/Other,1,Single,Portuguese,0.8333333333333334,0.8333333333333334,10,12,12,-1.2857142857142865,Low Load,0,0,16.5,-0.3260869565217391,0
Single,Change in institution/course,1,Communication Design,Daytime,Secondary education,Portuguese,Basic Edu 1st Cycle,Higher Education Degree,Other Armed Forces,Finance/Admin Specialists,Yes,0,0,1,Male,0,20,No,2,6,6,6,12.833333333333334,0,0,6,6,4,13.4,0,8.9,1.4,3.51,Graduate,HigherEd,Secondary/Technical,Basic,Communication,ArmedForces,Professional,Transfer/Other,1,Single,Portuguese,1.0,0.6666666666666666,10,12,12,0.5666666666666664,Low Load,0,0,10.3,0.39886039886039887,0
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Farmers/Ag Workers,No,0,0,0,Male,0,18,No,0,5,5,3,11.333333333333334,0,0,5,5,2,13.5,0,8.9,1.4,3.51,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,Skilled,LowSkill,General,1,Single,Portuguese,0.6,0.4,5,10,10,2.166666666666666,Low Load,0,0,10.3,0.39886039886039887,1
Single,3rd phase—general contingent,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Secondary Education,Unskilled Workers,Service/Sales/Security,Yes,0,0,1,Female,0,19,No,0,6,6,6,12.666666666666666,0,0,6,6,6,14.375,0,12.4,0.5,1.79,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese,1.0,1.0,12,12,12,1.708333333333334,Low Load,0,0,12.9,0.27932960893854747,0
Single,1st phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Bachelor’s Degree,Basic Edu 1st Cycle,Technicians & Professionals,Unskilled Workers,No,0,0,1,Male,0,34,No,0,5,5,5,12.4,0,0,5,5,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,HigherEd,Management,Technical,LowSkill,General,1,Single,Portuguese,1.0,1.0,10,10,10,1.0285714285714285,Low Load,0,0,13.6,-0.37974683544303794,0
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,No,0,1,0,Male,0,34,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,Basic,Secondary/Technical,Secondary/Technical,Energy,LowSkill,LowSkill,Unknown,1,Single,Portuguese,0.0,0.14285714285714285,1,14,14,10.0,Low Load,0,0,10.3,0.39886039886039887,2
Single,Over 23 years old,1,Informatics Engineering,Daytime,11th year—not completed,Portuguese,2nd cycle general high school,Basic Edu 1st Cycle,Student,Student,Yes,0,0,1,Male,0,34,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary_Incomplete,Secondary/Technical,Engineering,Unemployed,Unemployed,Unknown,1,Single,Portuguese,0.0,0.0,0,10,10,0.0,Low Load,0,0,10.2,8.125,0
Single,Change in course,1,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Farmers/Ag Workers,Farmers/Ag Workers,No,0,0,1,Female,0,34,No,0,5,5,1,10.0,0,0,5,3,2,12.0,2,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,0.2,0.4,3,10,8,2.0,Low Load,0,0,16.5,-0.3260869565217391,0
Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Technicians & Professionals,Yes,0,0,1,Female,0,34,No,0,5,5,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Technical,Unknown,1,Separated/Divorced,Portuguese,1.0,1.0,10,10,10,0.5999999999999996,Low Load,0,0,10.2,8.125,0
Single,Technological specialization diploma holders,1,Equiniculture,Daytime,Technological specialization course,Spanish,Master’s Degree,Master’s Degree,Technicians & Professionals,Farmers/Ag Workers,No,0,1,0,Female,0,20,Yes,2,6,6,3,11.666666666666666,0,1,6,6,3,12.0,0,12.4,0.5,1.79,Dropout,Doctorate,Secondary/Technical,Doctorate,Agriculture,Technical,LowSkill,Transfer/Other,1,Single,Europe,0.5,0.5,6,12,12,0.3333333333333339,Low Load,0,0,12.9,0.27932960893854747,2
Single,1st phase—general contingent,5,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,No,0,1,1,Female,0,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,HigherEd,Secondary/Technical,HigherEd,Communication,Professional,Professional,General,5,Single,Portuguese,0.6666666666666666,0.0,4,11,11,-12.75,Low Load,0,0,16.4,-2.1764705882352944,1
Single,1st phase—general contingent,2,Management,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Education 3rd Cycle,Scientific Specialists,Skilled Industry Workers,Yes,0,0,1,Female,0,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,Basic,Secondary/Technical,HigherEd,Management,Professional,Skilled,General,2,Single,Portuguese,1.0,1.0,10,10,10,1.0,Low Load,0,0,10.3,0.39886039886039887,0
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Scientific Specialists,Scientific Specialists,Yes,1,0,1,Female,0,22,No,0,7,7,5,13.928,0,0,8,8,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,HigherEd,Secondary/Technical,Secondary/Technical,Health,Professional,Professional,General,6,Single,Portuguese,0.7142857142857143,0.875,12,15,15,0.4148571428571408,Low Load,0,0,11.7,0.297029702970297,1
Single,2nd phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Service/Sales/Security,Service/Sales/Security,No,0,0,0,Female,0,20,No,0,6,6,4,13.0,0,0,6,6,5,13.8,0,12.4,0.5,1.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,LowSkill,General,1,Single,Portuguese,0.6666666666666666,0.8333333333333334,9,12,12,0.8000000000000007,Low Load,0,0,12.9,0.27932960893854747,1
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,29,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Single,Portuguese,0.0,0.0,0,10,10,0.0,Low Load,0,0,16.5,-0.3260869565217391,0
Single,2nd phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Administrative Staff,Service/Sales/Security,No,0,0,1,Female,0,24,No,0,5,5,2,11.5,0,0,5,4,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Management,Skilled,LowSkill,General,1,Single,Portuguese,0.4,0.6,5,10,9,2.833333333333334,Low Load,0,0,10.2,8.125,0
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,Yes,0,0,1,Female,0,18,No,0,6,6,6,11.666666666666666,0,0,6,6,5,13.2,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,2,Single,Portuguese,1.0,0.8333333333333334,11,12,12,1.5333333333333332,Low Load,0,0,11.7,0.297029702970297,0
Single,2nd phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,0,0,1,Female,1,22,No,0,7,7,6,13.516666666666666,0,0,8,8,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,6,Single,Portuguese,0.8571428571428571,0.875,13,15,15,0.2547619047619065,Low Load,0,0,11.7,0.297029702970297,1
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,Portuguese,Secondary Education,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,1,21,No,3,6,6,6,11.5,0,2,6,6,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,1.0,1.0,12,12,12,1.7857142857142865,Low Load,0,0,12.9,0.27932960893854747,1
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,1,19,No,0,6,6,5,12.333333333333334,0,0,6,6,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese,0.8333333333333334,1.0,11,12,12,0.5,Low Load,0,0,16.4,-2.1764705882352944,1
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Skilled Industry Workers,No,0,0,1,Female,1,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,Unknown,1,Single,Portuguese,1.0,1.0,12,12,12,0.5,Low Load,0,0,12.9,0.27932960893854747,1
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Farmers/Ag Workers,Farmers/Ag Workers,Yes,0,0,1,Female,1,19,No,0,8,8,6,11.833333333333334,0,0,8,8,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese,0.75,0.75,12,16,16,0.0,Low Load,0,0,8.6,0.25641025641025644,1
